"eventID","samplingProtocol","sampleSizeValue","sampleSizeUnit","eventDate","startDayOfYear","endDayOfYear","year","continent","country","countryCode","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","verbatimLocality","type","language","institutionID","institutionCode"
"BUU-1983-CYACAE","Visser, M. E., Lindner, M., Gienapp, P., Long, M. C., & Jenouvrier, S. (2021). 
            Recent natural variability in global warming weakened phenological mismatch and selection on seasonal timing in great tits (Parus major). 
            Proceedings of the Royal Society B, 288(1963), 20211337. https://doi.org/10.1098/rspb.2021.1337",23,"nest boxes","1983-04-19/1983-05-15",109,135,1983,"Europe","Netherlands","NL",52.01907,5.75744,"EPSG:4326",838,"Buunderkamp","Event","en","https://ror.org/01g25jp36","NIOO-KNAW"
"BUU-1984-CYACAE","Visser, M. E., Lindner, M., Gienapp, P., Long, M. C., & Jenouvrier, S. (2021). 
            Recent natural variability in global warming weakened phenological mismatch and selection on seasonal timing in great tits (Parus major). 
            Proceedings of the Royal Society B, 288(1963), 20211337. https://doi.org/10.1098/rspb.2021.1337",19,"nest boxes","1984-04-24/1984-05-22",115,143,1984,"Europe","Netherlands","NL",52.01907,5.75744,"EPSG:4326",838,"Buunderkamp","Event","en","https://ror.org/01g25jp36","NIOO-KNAW"
"BUU-1985-CYACAE","Visser, M. E., Lindner, M., Gienapp, P., Long, M. C., & Jenouvrier, S. (2021). 
            Recent natural variability in global warming weakened phenological mismatch and selection on seasonal timing in great tits (Parus major). 
            Proceedings of the Royal Society B, 288(1963), 20211337. https://doi.org/10.1098/rspb.2021.1337",20,"nest boxes","1985-04-15/1985-05-10",105,130,1985,"Europe","Netherlands","NL",52.01907,5.75744,"EPSG:4326",838,"Buunderkamp","Event","en","https://ror.org/01g25jp36","NIOO-KNAW"
"BUU-1986-CYACAE","Visser, M. E., Lindner, M., Gienapp, P., Long, M. C., & Jenouvrier, S. (2021). 
            Recent natural variability in global warming weakened phenological mismatch and selection on seasonal timing in great tits (Parus major). 
            Proceedings of the Royal Society B, 288(1963), 20211337. https://doi.org/10.1098/rspb.2021.1337",32,"nest boxes","1986-04-27/1986-05-27",117,147,1986,"Europe","Netherlands","NL",52.01907,5.75744,"EPSG:4326",838,"Buunderkamp","Event","en","https://ror.org/01g25jp36","NIOO-KNAW"
"BUU-1987-CYACAE","Visser, M. E., Lindner, M., Gienapp, P., Long, M. C., & Jenouvrier, S. (2021). 
            Recent natural variability in global warming weakened phenological mismatch and selection on seasonal timing in great tits (Parus major). 
            Proceedings of the Royal Society B, 288(1963), 20211337. https://doi.org/10.1098/rspb.2021.1337",37,"nest boxes","1987-04-21/1987-05-18",111,138,1987,"Europe","Netherlands","NL",52.01907,5.75744,"EPSG:4326",838,"Buunderkamp","Event","en","https://ror.org/01g25jp36","NIOO-KNAW"
"BUU-1988-CYACAE","Visser, M. E., Lindner, M., Gienapp, P., Long, M. C., & Jenouvrier, S. (2021). 
            Recent natural variability in global warming weakened phenological mismatch and selection on seasonal timing in great tits (Parus major). 
            Proceedings of the Royal Society B, 288(1963), 20211337. https://doi.org/10.1098/rspb.2021.1337",59,"nest boxes","1988-04-15/1988-05-17",106,138,1988,"Europe","Netherlands","NL",52.01907,5.75744,"EPSG:4326",838,"Buunderkamp","Event","en","https://ror.org/01g25jp36","NIOO-KNAW"
"BUU-1989-CYACAE","Visser, M. E., Lindner, M., Gienapp, P., Long, M. C., & Jenouvrier, S. (2021). 
            Recent natural variability in global warming weakened phenological mismatch and selection on seasonal timing in great tits (Parus major). 
            Proceedings of the Royal Society B, 288(1963), 20211337. https://doi.org/10.1098/rspb.2021.1337",35,"nest boxes","1989-04-12/1989-05-08",102,128,1989,"Europe","Netherlands","NL",52.01907,5.75744,"EPSG:4326",838,"Buunderkamp","Event","en","https://ror.org/01g25jp36","NIOO-KNAW"
"BUU-1990-CYACAE","Visser, M. E., Lindner, M., Gienapp, P., Long, M. C., & Jenouvrier, S. (2021). 
            Recent natural variability in global warming weakened phenological mismatch and selection on seasonal timing in great tits (Parus major). 
            Proceedings of the Royal Society B, 288(1963), 20211337. https://doi.org/10.1098/rspb.2021.1337",37,"nest boxes","1990-04-01/1990-05-05",91,125,1990,"Europe","Netherlands","NL",52.01907,5.75744,"EPSG:4326",838,"Buunderkamp","Event","en","https://ror.org/01g25jp36","NIOO-KNAW"
"BUU-1991-CYACAE","Visser, M. E., Lindner, M., Gienapp, P., Long, M. C., & Jenouvrier, S. (2021). 
            Recent natural variability in global warming weakened phenological mismatch and selection on seasonal timing in great tits (Parus major). 
            Proceedings of the Royal Society B, 288(1963), 20211337. https://doi.org/10.1098/rspb.2021.1337",43,"nest boxes","1991-04-09/1991-05-02",99,122,1991,"Europe","Netherlands","NL",52.01907,5.75744,"EPSG:4326",838,"Buunderkamp","Event","en","https://ror.org/01g25jp36","NIOO-KNAW"
"BUU-1992-CYACAE","Visser, M. E., Lindner, M., Gienapp, P., Long, M. C., & Jenouvrier, S. (2021). 
            Recent natural variability in global warming weakened phenological mismatch and selection on seasonal timing in great tits (Parus major). 
            Proceedings of the Royal Society B, 288(1963), 20211337. https://doi.org/10.1098/rspb.2021.1337",22,"nest boxes","1992-04-11/1992-04-26",102,117,1992,"Europe","Netherlands","NL",52.01907,5.75744,"EPSG:4326",838,"Buunderkamp","Event","en","https://ror.org/01g25jp36","NIOO-KNAW"
"BUU-1994-CYACAE","Visser, M. E., Lindner, M., Gienapp, P., Long, M. C., & Jenouvrier, S. (2021). 
            Recent natural variability in global warming weakened phenological mismatch and selection on seasonal timing in great tits (Parus major). 
            Proceedings of the Royal Society B, 288(1963), 20211337. https://doi.org/10.1098/rspb.2021.1337",18,"nest boxes","1994-04-12/1994-05-04",102,124,1994,"Europe","Netherlands","NL",52.01907,5.75744,"EPSG:4326",838,"Buunderkamp","Event","en","https://ror.org/01g25jp36","NIOO-KNAW"
"BUU-1995-CYACAE","Visser, M. E., Lindner, M., Gienapp, P., Long, M. C., & Jenouvrier, S. (2021). 
            Recent natural variability in global warming weakened phenological mismatch and selection on seasonal timing in great tits (Parus major). 
            Proceedings of the Royal Society B, 288(1963), 20211337. https://doi.org/10.1098/rspb.2021.1337",10,"nest boxes","1995-04-16/1995-05-12",106,132,1995,"Europe","Netherlands","NL",52.01907,5.75744,"EPSG:4326",838,"Buunderkamp","Event","en","https://ror.org/01g25jp36","NIOO-KNAW"
"BUU-1996-CYACAE","Visser, M. E., Lindner, M., Gienapp, P., Long, M. C., & Jenouvrier, S. (2021). 
            Recent natural variability in global warming weakened phenological mismatch and selection on seasonal timing in great tits (Parus major). 
            Proceedings of the Royal Society B, 288(1963), 20211337. https://doi.org/10.1098/rspb.2021.1337",34,"nest boxes","1996-04-15/1996-05-13",106,134,1996,"Europe","Netherlands","NL",52.01907,5.75744,"EPSG:4326",838,"Buunderkamp","Event","en","https://ror.org/01g25jp36","NIOO-KNAW"
"BUU-1997-CYACAE","Visser, M. E., Lindner, M., Gienapp, P., Long, M. C., & Jenouvrier, S. (2021). 
            Recent natural variability in global warming weakened phenological mismatch and selection on seasonal timing in great tits (Parus major). 
            Proceedings of the Royal Society B, 288(1963), 20211337. https://doi.org/10.1098/rspb.2021.1337",21,"nest boxes","1997-04-05/1997-05-01",95,121,1997,"Europe","Netherlands","NL",52.01907,5.75744,"EPSG:4326",838,"Buunderkamp","Event","en","https://ror.org/01g25jp36","NIOO-KNAW"
"BUU-1998-CYACAE","Visser, M. E., Lindner, M., Gienapp, P., Long, M. C., & Jenouvrier, S. (2021). 
            Recent natural variability in global warming weakened phenological mismatch and selection on seasonal timing in great tits (Parus major). 
            Proceedings of the Royal Society B, 288(1963), 20211337. https://doi.org/10.1098/rspb.2021.1337",8,"nest boxes","1998-04-15/1998-04-24",105,114,1998,"Europe","Netherlands","NL",52.01907,5.75744,"EPSG:4326",838,"Buunderkamp","Event","en","https://ror.org/01g25jp36","NIOO-KNAW"
"BUU-1999-CYACAE","Visser, M. E., Lindner, M., Gienapp, P., Long, M. C., & Jenouvrier, S. (2021). 
            Recent natural variability in global warming weakened phenological mismatch and selection on seasonal timing in great tits (Parus major). 
            Proceedings of the Royal Society B, 288(1963), 20211337. https://doi.org/10.1098/rspb.2021.1337",3,"nest boxes","1999-04-26/1999-04-27",116,117,1999,"Europe","Netherlands","NL",52.01907,5.75744,"EPSG:4326",838,"Buunderkamp","Event","en","https://ror.org/01g25jp36","NIOO-KNAW"
"BUU-2000-CYACAE","Visser, M. E., Lindner, M., Gienapp, P., Long, M. C., & Jenouvrier, S. (2021). 
            Recent natural variability in global warming weakened phenological mismatch and selection on seasonal timing in great tits (Parus major). 
            Proceedings of the Royal Society B, 288(1963), 20211337. https://doi.org/10.1098/rspb.2021.1337",10,"nest boxes","2000-04-15/2000-05-03",106,124,2000,"Europe","Netherlands","NL",52.01907,5.75744,"EPSG:4326",838,"Buunderkamp","Event","en","https://ror.org/01g25jp36","NIOO-KNAW"
"BUU-2001-CYACAE","Visser, M. E., Lindner, M., Gienapp, P., Long, M. C., & Jenouvrier, S. (2021). 
            Recent natural variability in global warming weakened phenological mismatch and selection on seasonal timing in great tits (Parus major). 
            Proceedings of the Royal Society B, 288(1963), 20211337. https://doi.org/10.1098/rspb.2021.1337",18,"nest boxes","2001-04-25/2001-05-17",115,137,2001,"Europe","Netherlands","NL",52.01907,5.75744,"EPSG:4326",838,"Buunderkamp","Event","en","https://ror.org/01g25jp36","NIOO-KNAW"
"BUU-2002-CYACAE","Visser, M. E., Lindner, M., Gienapp, P., Long, M. C., & Jenouvrier, S. (2021). 
            Recent natural variability in global warming weakened phenological mismatch and selection on seasonal timing in great tits (Parus major). 
            Proceedings of the Royal Society B, 288(1963), 20211337. https://doi.org/10.1098/rspb.2021.1337",10,"nest boxes","2002-04-17/2002-04-25",107,115,2002,"Europe","Netherlands","NL",52.01907,5.75744,"EPSG:4326",838,"Buunderkamp","Event","en","https://ror.org/01g25jp36","NIOO-KNAW"
"BUU-2003-CYACAE","Visser, M. E., Lindner, M., Gienapp, P., Long, M. C., & Jenouvrier, S. (2021). 
            Recent natural variability in global warming weakened phenological mismatch and selection on seasonal timing in great tits (Parus major). 
            Proceedings of the Royal Society B, 288(1963), 20211337. https://doi.org/10.1098/rspb.2021.1337",19,"nest boxes","2003-04-10/2003-05-02",100,122,2003,"Europe","Netherlands","NL",52.01907,5.75744,"EPSG:4326",838,"Buunderkamp","Event","en","https://ror.org/01g25jp36","NIOO-KNAW"
"BUU-2004-CYACAE","Visser, M. E., Lindner, M., Gienapp, P., Long, M. C., & Jenouvrier, S. (2021). 
            Recent natural variability in global warming weakened phenological mismatch and selection on seasonal timing in great tits (Parus major). 
            Proceedings of the Royal Society B, 288(1963), 20211337. https://doi.org/10.1098/rspb.2021.1337",10,"nest boxes","2004-04-12/2004-04-27",103,118,2004,"Europe","Netherlands","NL",52.01907,5.75744,"EPSG:4326",838,"Buunderkamp","Event","en","https://ror.org/01g25jp36","NIOO-KNAW"
"BUU-2005-CYACAE","Visser, M. E., Lindner, M., Gienapp, P., Long, M. C., & Jenouvrier, S. (2021). 
            Recent natural variability in global warming weakened phenological mismatch and selection on seasonal timing in great tits (Parus major). 
            Proceedings of the Royal Society B, 288(1963), 20211337. https://doi.org/10.1098/rspb.2021.1337",33,"nest boxes","2005-04-05/2005-05-07",95,127,2005,"Europe","Netherlands","NL",52.01907,5.75744,"EPSG:4326",838,"Buunderkamp","Event","en","https://ror.org/01g25jp36","NIOO-KNAW"
"BUU-2006-CYACAE","Visser, M. E., Lindner, M., Gienapp, P., Long, M. C., & Jenouvrier, S. (2021). 
            Recent natural variability in global warming weakened phenological mismatch and selection on seasonal timing in great tits (Parus major). 
            Proceedings of the Royal Society B, 288(1963), 20211337. https://doi.org/10.1098/rspb.2021.1337",11,"nest boxes","2006-04-13/2006-04-27",103,117,2006,"Europe","Netherlands","NL",52.01907,5.75744,"EPSG:4326",838,"Buunderkamp","Event","en","https://ror.org/01g25jp36","NIOO-KNAW"
"BUU-2007-CYACAE","Visser, M. E., Lindner, M., Gienapp, P., Long, M. C., & Jenouvrier, S. (2021). 
            Recent natural variability in global warming weakened phenological mismatch and selection on seasonal timing in great tits (Parus major). 
            Proceedings of the Royal Society B, 288(1963), 20211337. https://doi.org/10.1098/rspb.2021.1337",33,"nest boxes","2007-04-04/2007-04-30",94,120,2007,"Europe","Netherlands","NL",52.01907,5.75744,"EPSG:4326",838,"Buunderkamp","Event","en","https://ror.org/01g25jp36","NIOO-KNAW"
"BUU-2008-CYACAE","Visser, M. E., Lindner, M., Gienapp, P., Long, M. C., & Jenouvrier, S. (2021). 
            Recent natural variability in global warming weakened phenological mismatch and selection on seasonal timing in great tits (Parus major). 
            Proceedings of the Royal Society B, 288(1963), 20211337. https://doi.org/10.1098/rspb.2021.1337",30,"nest boxes","2008-04-05/2008-05-05",96,126,2008,"Europe","Netherlands","NL",52.01907,5.75744,"EPSG:4326",838,"Buunderkamp","Event","en","https://ror.org/01g25jp36","NIOO-KNAW"
"BUU-2009-CYACAE","Visser, M. E., Lindner, M., Gienapp, P., Long, M. C., & Jenouvrier, S. (2021). 
            Recent natural variability in global warming weakened phenological mismatch and selection on seasonal timing in great tits (Parus major). 
            Proceedings of the Royal Society B, 288(1963), 20211337. https://doi.org/10.1098/rspb.2021.1337",13,"nest boxes","2009-04-10/2009-04-24",100,114,2009,"Europe","Netherlands","NL",52.01907,5.75744,"EPSG:4326",838,"Buunderkamp","Event","en","https://ror.org/01g25jp36","NIOO-KNAW"
"BUU-2010-CYACAE","Visser, M. E., Lindner, M., Gienapp, P., Long, M. C., & Jenouvrier, S. (2021). 
            Recent natural variability in global warming weakened phenological mismatch and selection on seasonal timing in great tits (Parus major). 
            Proceedings of the Royal Society B, 288(1963), 20211337. https://doi.org/10.1098/rspb.2021.1337",34,"nest boxes","2010-04-10/2010-04-27",100,117,2010,"Europe","Netherlands","NL",52.01907,5.75744,"EPSG:4326",838,"Buunderkamp","Event","en","https://ror.org/01g25jp36","NIOO-KNAW"
"BUU-2011-CYACAE","Visser, M. E., Lindner, M., Gienapp, P., Long, M. C., & Jenouvrier, S. (2021). 
            Recent natural variability in global warming weakened phenological mismatch and selection on seasonal timing in great tits (Parus major). 
            Proceedings of the Royal Society B, 288(1963), 20211337. https://doi.org/10.1098/rspb.2021.1337",37,"nest boxes","2011-04-09/2011-05-04",99,124,2011,"Europe","Netherlands","NL",52.01907,5.75744,"EPSG:4326",838,"Buunderkamp","Event","en","https://ror.org/01g25jp36","NIOO-KNAW"
"BUU-2012-CYACAE","Visser, M. E., Lindner, M., Gienapp, P., Long, M. C., & Jenouvrier, S. (2021). 
            Recent natural variability in global warming weakened phenological mismatch and selection on seasonal timing in great tits (Parus major). 
            Proceedings of the Royal Society B, 288(1963), 20211337. https://doi.org/10.1098/rspb.2021.1337",47,"nest boxes","2012-03-29/2012-05-08",89,129,2012,"Europe","Netherlands","NL",52.01907,5.75744,"EPSG:4326",838,"Buunderkamp","Event","en","https://ror.org/01g25jp36","NIOO-KNAW"
"BUU-2013-CYACAE","Visser, M. E., Lindner, M., Gienapp, P., Long, M. C., & Jenouvrier, S. (2021). 
            Recent natural variability in global warming weakened phenological mismatch and selection on seasonal timing in great tits (Parus major). 
            Proceedings of the Royal Society B, 288(1963), 20211337. https://doi.org/10.1098/rspb.2021.1337",21,"nest boxes","2013-04-23/2013-05-07",113,127,2013,"Europe","Netherlands","NL",52.01907,5.75744,"EPSG:4326",838,"Buunderkamp","Event","en","https://ror.org/01g25jp36","NIOO-KNAW"
"BUU-2014-CYACAE","Visser, M. E., Lindner, M., Gienapp, P., Long, M. C., & Jenouvrier, S. (2021). 
            Recent natural variability in global warming weakened phenological mismatch and selection on seasonal timing in great tits (Parus major). 
            Proceedings of the Royal Society B, 288(1963), 20211337. https://doi.org/10.1098/rspb.2021.1337",32,"nest boxes","2014-04-01/2014-05-02",91,122,2014,"Europe","Netherlands","NL",52.01907,5.75744,"EPSG:4326",838,"Buunderkamp","Event","en","https://ror.org/01g25jp36","NIOO-KNAW"
"BUU-2016-CYACAE","Visser, M. E., Lindner, M., Gienapp, P., Long, M. C., & Jenouvrier, S. (2021). 
            Recent natural variability in global warming weakened phenological mismatch and selection on seasonal timing in great tits (Parus major). 
            Proceedings of the Royal Society B, 288(1963), 20211337. https://doi.org/10.1098/rspb.2021.1337",5,"nest boxes","2016-04-12/2016-05-10",103,131,2016,"Europe","Netherlands","NL",52.01907,5.75744,"EPSG:4326",838,"Buunderkamp","Event","en","https://ror.org/01g25jp36","NIOO-KNAW"
"BUU-1983-FICHYP","Visser, M. E., Lindner, M., Gienapp, P., Long, M. C., & Jenouvrier, S. (2021). 
            Recent natural variability in global warming weakened phenological mismatch and selection on seasonal timing in great tits (Parus major). 
            Proceedings of the Royal Society B, 288(1963), 20211337. https://doi.org/10.1098/rspb.2021.1337",22,"nest boxes","1983-05-02/1983-06-02",122,153,1983,"Europe","Netherlands","NL",52.01907,5.75744,"EPSG:4326",838,"Buunderkamp","Event","en","https://ror.org/01g25jp36","NIOO-KNAW"
"BUU-1984-FICHYP","Visser, M. E., Lindner, M., Gienapp, P., Long, M. C., & Jenouvrier, S. (2021). 
            Recent natural variability in global warming weakened phenological mismatch and selection on seasonal timing in great tits (Parus major). 
            Proceedings of the Royal Society B, 288(1963), 20211337. https://doi.org/10.1098/rspb.2021.1337",37,"nest boxes","1984-04-13/1984-05-17",104,138,1984,"Europe","Netherlands","NL",52.01907,5.75744,"EPSG:4326",838,"Buunderkamp","Event","en","https://ror.org/01g25jp36","NIOO-KNAW"
"BUU-1985-FICHYP","Visser, M. E., Lindner, M., Gienapp, P., Long, M. C., & Jenouvrier, S. (2021). 
            Recent natural variability in global warming weakened phenological mismatch and selection on seasonal timing in great tits (Parus major). 
            Proceedings of the Royal Society B, 288(1963), 20211337. https://doi.org/10.1098/rspb.2021.1337",48,"nest boxes","1985-04-15/1985-05-15",105,135,1985,"Europe","Netherlands","NL",52.01907,5.75744,"EPSG:4326",838,"Buunderkamp","Event","en","https://ror.org/01g25jp36","NIOO-KNAW"
"BUU-1986-FICHYP","Visser, M. E., Lindner, M., Gienapp, P., Long, M. C., & Jenouvrier, S. (2021). 
            Recent natural variability in global warming weakened phenological mismatch and selection on seasonal timing in great tits (Parus major). 
            Proceedings of the Royal Society B, 288(1963), 20211337. https://doi.org/10.1098/rspb.2021.1337",64,"nest boxes","1986-05-07/1986-06-01",127,152,1986,"Europe","Netherlands","NL",52.01907,5.75744,"EPSG:4326",838,"Buunderkamp","Event","en","https://ror.org/01g25jp36","NIOO-KNAW"
"BUU-1987-FICHYP","Visser, M. E., Lindner, M., Gienapp, P., Long, M. C., & Jenouvrier, S. (2021). 
            Recent natural variability in global warming weakened phenological mismatch and selection on seasonal timing in great tits (Parus major). 
            Proceedings of the Royal Society B, 288(1963), 20211337. https://doi.org/10.1098/rspb.2021.1337",64,"nest boxes","1987-04-28/1987-05-25",118,145,1987,"Europe","Netherlands","NL",52.01907,5.75744,"EPSG:4326",838,"Buunderkamp","Event","en","https://ror.org/01g25jp36","NIOO-KNAW"
"BUU-1988-FICHYP","Visser, M. E., Lindner, M., Gienapp, P., Long, M. C., & Jenouvrier, S. (2021). 
            Recent natural variability in global warming weakened phenological mismatch and selection on seasonal timing in great tits (Parus major). 
            Proceedings of the Royal Society B, 288(1963), 20211337. https://doi.org/10.1098/rspb.2021.1337",74,"nest boxes","1988-04-11/1988-05-13",102,134,1988,"Europe","Netherlands","NL",52.01907,5.75744,"EPSG:4326",838,"Buunderkamp","Event","en","https://ror.org/01g25jp36","NIOO-KNAW"
"BUU-1989-FICHYP","Visser, M. E., Lindner, M., Gienapp, P., Long, M. C., & Jenouvrier, S. (2021). 
            Recent natural variability in global warming weakened phenological mismatch and selection on seasonal timing in great tits (Parus major). 
            Proceedings of the Royal Society B, 288(1963), 20211337. https://doi.org/10.1098/rspb.2021.1337",83,"nest boxes","1989-05-01/1989-05-30",121,150,1989,"Europe","Netherlands","NL",52.01907,5.75744,"EPSG:4326",838,"Buunderkamp","Event","en","https://ror.org/01g25jp36","NIOO-KNAW"
