"eventID","occurrenceID","organismQuantity","organismQuantityType","occurrenceStatus","basisOfRecord","scientificName","kingdom","phylum","class","order","family","genus","genericName","specificEpithet","taxonRank","vernacularName","taxonomicStatus"
"BUU-1983-CYACAE","BUU-1983-CYACAE_1",23,"breeding pairs","present","HumanObservation","Cyanistes caeruleus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Cyanistes","Cyanistes","caeruleus","species","Blue tit","accepted"
"BUU-1983-FICHYP","BUU-1983-FICHYP_1",22,"breeding pairs","present","HumanObservation","Ficedula hypoleuca (Pallas, 1764)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","Ficedula","hypoleuca","species","Pied flycatcher","accepted"
"BUU-1983-PARMAJ","BUU-1983-PARMAJ_1",57,"breeding pairs","present","HumanObservation","Parus major Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus","major","species","Great tit","accepted"
"BUU-1983-PERATE","BUU-1983-PERATE_1",5,"breeding pairs","present","HumanObservation","Periparus ater (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Periparus","Periparus","ater","species","Coal tit","accepted"
"BUU-1984-CYACAE","BUU-1984-CYACAE_1",19,"breeding pairs","present","HumanObservation","Cyanistes caeruleus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Cyanistes","Cyanistes","caeruleus","species","Blue tit","accepted"
"BUU-1984-FICHYP","BUU-1984-FICHYP_1",37,"breeding pairs","present","HumanObservation","Ficedula hypoleuca (Pallas, 1764)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","Ficedula","hypoleuca","species","Pied flycatcher","accepted"
"BUU-1984-PARMAJ","BUU-1984-PARMAJ_1",67,"breeding pairs","present","HumanObservation","Parus major Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus","major","species","Great tit","accepted"
"BUU-1984-PERATE","BUU-1984-PERATE_1",2,"breeding pairs","present","HumanObservation","Periparus ater (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Periparus","Periparus","ater","species","Coal tit","accepted"
"BUU-1985-CYACAE","BUU-1985-CYACAE_1",20,"breeding pairs","present","HumanObservation","Cyanistes caeruleus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Cyanistes","Cyanistes","caeruleus","species","Blue tit","accepted"
"BUU-1985-FICHYP","BUU-1985-FICHYP_1",48,"breeding pairs","present","HumanObservation","Ficedula hypoleuca (Pallas, 1764)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","Ficedula","hypoleuca","species","Pied flycatcher","accepted"
"BUU-1985-PARMAJ","BUU-1985-PARMAJ_1",65,"breeding pairs","present","HumanObservation","Parus major Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus","major","species","Great tit","accepted"
"BUU-1985-PERATE","BUU-1985-PERATE_1",2,"breeding pairs","present","HumanObservation","Periparus ater (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Periparus","Periparus","ater","species","Coal tit","accepted"
"BUU-1986-CYACAE","BUU-1986-CYACAE_1",32,"breeding pairs","present","HumanObservation","Cyanistes caeruleus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Cyanistes","Cyanistes","caeruleus","species","Blue tit","accepted"
"BUU-1986-FICHYP","BUU-1986-FICHYP_1",64,"breeding pairs","present","HumanObservation","Ficedula hypoleuca (Pallas, 1764)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","Ficedula","hypoleuca","species","Pied flycatcher","accepted"
"BUU-1986-PARMAJ","BUU-1986-PARMAJ_1",74,"breeding pairs","present","HumanObservation","Parus major Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus","major","species","Great tit","accepted"
"BUU-1986-PERATE","BUU-1986-PERATE_1",6,"breeding pairs","present","HumanObservation","Periparus ater (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Periparus","Periparus","ater","species","Coal tit","accepted"
"BUU-1987-CYACAE","BUU-1987-CYACAE_1",37,"breeding pairs","present","HumanObservation","Cyanistes caeruleus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Cyanistes","Cyanistes","caeruleus","species","Blue tit","accepted"
"BUU-1987-FICHYP","BUU-1987-FICHYP_1",64,"breeding pairs","present","HumanObservation","Ficedula hypoleuca (Pallas, 1764)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","Ficedula","hypoleuca","species","Pied flycatcher","accepted"
"BUU-1987-PARMAJ","BUU-1987-PARMAJ_1",73,"breeding pairs","present","HumanObservation","Parus major Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus","major","species","Great tit","accepted"
"BUU-1987-PERATE","BUU-1987-PERATE_1",7,"breeding pairs","present","HumanObservation","Periparus ater (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Periparus","Periparus","ater","species","Coal tit","accepted"
"BUU-1988-CYACAE","BUU-1988-CYACAE_1",60,"breeding pairs","present","HumanObservation","Cyanistes caeruleus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Cyanistes","Cyanistes","caeruleus","species","Blue tit","accepted"
"BUU-1988-FICHYP","BUU-1988-FICHYP_1",74,"breeding pairs","present","HumanObservation","Ficedula hypoleuca (Pallas, 1764)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","Ficedula","hypoleuca","species","Pied flycatcher","accepted"
"BUU-1988-PARMAJ","BUU-1988-PARMAJ_1",95,"breeding pairs","present","HumanObservation","Parus major Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus","major","species","Great tit","accepted"
"BUU-1988-PERATE","BUU-1988-PERATE_1",6,"breeding pairs","present","HumanObservation","Periparus ater (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Periparus","Periparus","ater","species","Coal tit","accepted"
"BUU-1989-CYACAE","BUU-1989-CYACAE_1",35,"breeding pairs","present","HumanObservation","Cyanistes caeruleus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Cyanistes","Cyanistes","caeruleus","species","Blue tit","accepted"
"BUU-1989-FICHYP","BUU-1989-FICHYP_1",84,"breeding pairs","present","HumanObservation","Ficedula hypoleuca (Pallas, 1764)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","Ficedula","hypoleuca","species","Pied flycatcher","accepted"
"BUU-1989-PARMAJ","BUU-1989-PARMAJ_1",67,"breeding pairs","present","HumanObservation","Parus major Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus","major","species","Great tit","accepted"
"BUU-1989-PERATE","BUU-1989-PERATE_1",9,"breeding pairs","present","HumanObservation","Periparus ater (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Periparus","Periparus","ater","species","Coal tit","accepted"
"BUU-1990-CYACAE","BUU-1990-CYACAE_1",37,"breeding pairs","present","HumanObservation","Cyanistes caeruleus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Cyanistes","Cyanistes","caeruleus","species","Blue tit","accepted"
"BUU-1990-FICHYP","BUU-1990-FICHYP_1",91,"breeding pairs","present","HumanObservation","Ficedula hypoleuca (Pallas, 1764)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","Ficedula","hypoleuca","species","Pied flycatcher","accepted"
"BUU-1990-PARMAJ","BUU-1990-PARMAJ_1",64,"breeding pairs","present","HumanObservation","Parus major Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus","major","species","Great tit","accepted"
"BUU-1990-PERATE","BUU-1990-PERATE_1",8,"breeding pairs","present","HumanObservation","Periparus ater (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Periparus","Periparus","ater","species","Coal tit","accepted"
"BUU-1991-CYACAE","BUU-1991-CYACAE_1",43,"breeding pairs","present","HumanObservation","Cyanistes caeruleus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Cyanistes","Cyanistes","caeruleus","species","Blue tit","accepted"
"BUU-1991-FICHYP","BUU-1991-FICHYP_1",56,"breeding pairs","present","HumanObservation","Ficedula hypoleuca (Pallas, 1764)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","Ficedula","hypoleuca","species","Pied flycatcher","accepted"
"BUU-1991-PARMAJ","BUU-1991-PARMAJ_1",103,"breeding pairs","present","HumanObservation","Parus major Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus","major","species","Great tit","accepted"
"BUU-1991-PERATE","BUU-1991-PERATE_1",9,"breeding pairs","present","HumanObservation","Periparus ater (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Periparus","Periparus","ater","species","Coal tit","accepted"
"BUU-1992-CYACAE","BUU-1992-CYACAE_1",22,"breeding pairs","present","HumanObservation","Cyanistes caeruleus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Cyanistes","Cyanistes","caeruleus","species","Blue tit","accepted"
"BUU-1992-FICHYP","BUU-1992-FICHYP_1",39,"breeding pairs","present","HumanObservation","Ficedula hypoleuca (Pallas, 1764)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","Ficedula","hypoleuca","species","Pied flycatcher","accepted"
"BUU-1992-PARMAJ","BUU-1992-PARMAJ_1",87,"breeding pairs","present","HumanObservation","Parus major Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus","major","species","Great tit","accepted"
"BUU-1992-PERATE","BUU-1992-PERATE_1",7,"breeding pairs","present","HumanObservation","Periparus ater (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Periparus","Periparus","ater","species","Coal tit","accepted"
"BUU-1994-CYACAE","BUU-1994-CYACAE_1",18,"breeding pairs","present","HumanObservation","Cyanistes caeruleus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Cyanistes","Cyanistes","caeruleus","species","Blue tit","accepted"
"BUU-1994-FICHYP","BUU-1994-FICHYP_1",36,"breeding pairs","present","HumanObservation","Ficedula hypoleuca (Pallas, 1764)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","Ficedula","hypoleuca","species","Pied flycatcher","accepted"
"BUU-1994-PARMAJ","BUU-1994-PARMAJ_1",43,"breeding pairs","present","HumanObservation","Parus major Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus","major","species","Great tit","accepted"
"BUU-1994-PERATE","BUU-1994-PERATE_1",8,"breeding pairs","present","HumanObservation","Periparus ater (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Periparus","Periparus","ater","species","Coal tit","accepted"
"BUU-1995-CYACAE","BUU-1995-CYACAE_1",10,"breeding pairs","present","HumanObservation","Cyanistes caeruleus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Cyanistes","Cyanistes","caeruleus","species","Blue tit","accepted"
"BUU-1995-FICHYP","BUU-1995-FICHYP_1",47,"breeding pairs","present","HumanObservation","Ficedula hypoleuca (Pallas, 1764)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","Ficedula","hypoleuca","species","Pied flycatcher","accepted"
"BUU-1995-PARMAJ","BUU-1995-PARMAJ_1",36,"breeding pairs","present","HumanObservation","Parus major Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus","major","species","Great tit","accepted"
"BUU-1995-PERATE","BUU-1995-PERATE_1",5,"breeding pairs","present","HumanObservation","Periparus ater (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Periparus","Periparus","ater","species","Coal tit","accepted"
"BUU-1996-CYACAE","BUU-1996-CYACAE_1",34,"breeding pairs","present","HumanObservation","Cyanistes caeruleus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Cyanistes","Cyanistes","caeruleus","species","Blue tit","accepted"
"BUU-1996-FICHYP","BUU-1996-FICHYP_1",54,"breeding pairs","present","HumanObservation","Ficedula hypoleuca (Pallas, 1764)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","Ficedula","hypoleuca","species","Pied flycatcher","accepted"
"BUU-1996-PARMAJ","BUU-1996-PARMAJ_1",88,"breeding pairs","present","HumanObservation","Parus major Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus","major","species","Great tit","accepted"
"BUU-1996-PERATE","BUU-1996-PERATE_1",9,"breeding pairs","present","HumanObservation","Periparus ater (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Periparus","Periparus","ater","species","Coal tit","accepted"
"BUU-1997-CYACAE","BUU-1997-CYACAE_1",21,"breeding pairs","present","HumanObservation","Cyanistes caeruleus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Cyanistes","Cyanistes","caeruleus","species","Blue tit","accepted"
"BUU-1997-FICHYP","BUU-1997-FICHYP_1",40,"breeding pairs","present","HumanObservation","Ficedula hypoleuca (Pallas, 1764)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","Ficedula","hypoleuca","species","Pied flycatcher","accepted"
